Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Alex,Supporting Character Clip: Un Natale in famiglia,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 18:39:30,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3320,""mediaOffsetMs"":0}]"
Alex,Supporting Character Clip: Un Natale in famiglia,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:07:00,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2097,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":91001,""mediaOffsetMs"":88458}]"
Alex,Cliffhanger Clip: Narvik,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:06:55,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1775,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5481,""mediaOffsetMs"":3617},{""eventType"":""stopped"",""sessionOffsetMs"":7843,""mediaOffsetMs"":3617}]"
Alex,Supporting Character Clip: Un Natale in famiglia,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:04:42,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1769,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":90599,""mediaOffsetMs"":88458}]"
Alex,Fast & Furious 9_hook_01_16x9,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:03:30,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2126,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":69976,""mediaOffsetMs"":67789},{""eventType"":""stopped"",""sessionOffsetMs"":71853,""mediaOffsetMs"":67789}]"
Alex,"Weddings, Christenings and Funerals_hook_04_16x9",Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:03:28,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2285,""mediaOffsetMs"":0}]"
Alex,Cliffhanger Clip: Narvik,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:03:26,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1822,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2146,""mediaOffsetMs"":221},{""eventType"":""stopped"",""sessionOffsetMs"":3553,""mediaOffsetMs"":264}]"
Alex,The Client List_hook_04_16x9,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:03:07,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2022,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":18246,""mediaOffsetMs"":16041},{""eventType"":""stopped"",""sessionOffsetMs"":20436,""mediaOffsetMs"":16041}]"
Alex,Snake Eyes: G.I. Joe Origins_hook_03_16x9,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:03:06,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3356,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3510,""mediaOffsetMs"":115},{""eventType"":""stopped"",""sessionOffsetMs"":4894,""mediaOffsetMs"":115}]"
Alex,Supporting Character Clip: Un Natale in famiglia,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:03:03,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2281,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2366,""mediaOffsetMs"":9},{""eventType"":""stopped"",""sessionOffsetMs"":4354,""mediaOffsetMs"":9}]"
Alex,Cliffhanger Clip: Narvik,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:03:02,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2420,""mediaOffsetMs"":0}]"
Alex,Teaser: You People,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:02:56,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3227,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6771,""mediaOffsetMs"":3405},{""eventType"":""stopped"",""sessionOffsetMs"":9280,""mediaOffsetMs"":3405}]"
Alex,Fast & Furious 9_hook_01_16x9,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:02:54,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1986,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2147,""mediaOffsetMs"":121},{""eventType"":""stopped"",""sessionOffsetMs"":4039,""mediaOffsetMs"":121}]"
Alex,Supporting Character Clip: Un Natale in famiglia,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:02:50,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1943,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2087,""mediaOffsetMs"":112},{""eventType"":""stopped"",""sessionOffsetMs"":4141,""mediaOffsetMs"":112}]"
Alex,Season 1 Character Intro Clip 2: Bling Empire: New York,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:02:48,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1329,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1579,""mediaOffsetMs"":134},{""eventType"":""stopped"",""sessionOffsetMs"":3015,""mediaOffsetMs"":201}]"
Alex,Season 3 Trailer: Love Is Blind,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:02:25,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1871,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":11700,""mediaOffsetMs"":9724},{""eventType"":""stopped"",""sessionOffsetMs"":14326,""mediaOffsetMs"":9724}]"
Alex,GINNYANDGEORGIA_S1_CLIP_MAINCHARACTER,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:02:16,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1299,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7501,""mediaOffsetMs"":5924},{""eventType"":""stopped"",""sessionOffsetMs"":9769,""mediaOffsetMs"":5924}]"
Alex,Season 1 Trailer: Bling Empire: New York,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:02:10,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1382,""mediaOffsetMs"":0}]"
Alex,Season 1 Teaser: Machos alfa,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 15:01:22,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1312,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":23328,""mediaOffsetMs"":22016},{""eventType"":""playing"",""sessionOffsetMs"":31328,""mediaOffsetMs"":30016},{""eventType"":""playing"",""sessionOffsetMs"":39328,""mediaOffsetMs"":38016},{""eventType"":""playing"",""sessionOffsetMs"":47328,""mediaOffsetMs"":46016},{""eventType"":""stopped"",""sessionOffsetMs"":48881,""mediaOffsetMs"":47240}]"
